sector,keyword,last_hit_date,total_hit_count,avg_similarity_score
반도체,메모리 반도체 가격상승,2026-07-30,33,0.62
반도체,"HBM(고대역폭메모리, HBM4, HBM4E) 생산능력 경쟁",2026-07-30,16,0.61
반도체,반도체 핵심소재 국산화,2026-07-29,25,0.66
반도체,NCF 포토레지스트 국산화,,0,0.0
반도체,인텔 파운드리 전략,2026-07-30,7,0.75
반도체,인텔 반도체 위탁생산,,0,0.0
반도체,반도체 유리기판 양산,2026-07-30,14,0.62
반도체,글라스기판 실물전시,,0,0.0
반도체,CXL 검사장비,,0,0.0
반도체,PIM 차세대 메모리,2026-07-29,2,0.46
반도체,AI 데이터센터 반도체,2026-07-30,8,0.6
반도체,FC BGA 공급부족,2026-07-29,1,0.31
반도체,"삼성전자, SK하이닉스 반도체 클러스터 산단 투자",2026-07-30,17,0.62
반도체,애플의 메모리 가격 영향,2026-07-30,9,0.6
반도체,중국 창신메모리 DDR5 공급 확대,2026-07-29,4,0.65
반도체,테라팹 생태계 진입 장비 공급,,0,0.0
반도체,서버용 고용량 eSSD 공급 부족 및 단가 인상,,0,0.0
반도체,엔비디아 블랙웰 패키징,2026-07-29,1,0.3
반도체,반도체 테스트소켓 수혜,2026-07-30,9,0.61
반도체,HBM 장비 국산화,,0,0.0
반도체,온디바이스 AI 저전력 반도체,,0,0.0
반도체,온디바이스 AI 테스터 장비,,0,0.0
자동차,"전기차(EV) 및 하이브리드(HEV, PHEV) 판매 동향",2026-07-30,7,0.59
자동차,미국 전기차 IRA,,0,0.0
자동차,미국 전기차 보조금 규제,2026-07-29,16,0.62
자동차,현대차 기아 미국공장,2026-07-30,32,0.65
자동차,V2G 양방향 송전,,0,0.0
자동차,테슬라 로보택시 FSD,2026-07-29,3,0.49
자동차,테슬라 휴머노이드 로봇,,0,0.0
자동차,완성차 공조장치,,0,0.0
자동차,자동차 전장부품 공급망,2026-07-29,1,0.31
자동차,완성차 공장 가동률,,0,0.0
자동차,자동차 내수 침체,,0,0.0
자동차,정부 자율주행 모빌리티 및 미래교통 로드맵 지원 수혜,2026-07-30,11,0.69
이차전지,전고체 배터리 기술,2026-07-30,17,0.7
이차전지,실리콘 음극재 배터리,,0,0.0
이차전지,K배터리 미국 합작공장,2026-07-28,4,0.51
이차전지,테슬라 ESS 공급,2026-07-30,6,0.63
이차전지,데이터센터 배터리 공급,2026-07-30,2,0.48
이차전지,액침냉각 배터리팩,2026-07-30,1,0.35
이차전지,4680 원통형 배터리,,0,0.0
이차전지,폐배터리 리사이클링 대기업,,0,0.0
이차전지,양극재 동박 국산화 수혜,2026-07-29,1,0.3
이차전지,전기차 캐즘 돌파용 LFP 배터리 합작사 설립,2026-07-30,3,0.57
이차전지,현대차·기아 조지아 공장 동반 진출 부품 밸류체인 수혜,,0,0.0
전력 / 에너지,데이터센터 전력난 원전,2026-07-30,6,0.59
전력 / 에너지,송배전 전력망 인프라,2026-07-29,10,0.63
전력 / 에너지,체코 원전 본계약,,0,0.0
전력 / 에너지,폴란드 원전 수주,,0,0.0
전력 / 에너지,소형모듈원자로 SMR,,0,0.0
전력 / 에너지,방사성 폐기물 시설 해체,,0,0.0
전력 / 에너지,초고압 변압기 미국 수출,,0,0.0
전력 / 에너지,송배전기기 미국 수출,,0,0.0
전력 / 에너지,수소 경제 인프라,2026-07-30,9,0.72
전력 / 에너지,신재생에너지 해상풍력 태양광,,0,0.0
전력 / 에너지,핵연료 공급 계약,,0,0.0
전력 / 에너지,동해 심해 가스전 시추,,0,0.0
전력 / 에너지,대왕고래 프로젝트,,0,0.0
전력 / 에너지,미국 송배전 전력망 투자,2026-07-29,2,0.46
전력 / 에너지,송전망 확충 특별법,,0,0.0
전력 / 에너지,트럼프 SMR 확대,,0,0.0
전력 / 에너지,트럼프 화석에너지 정책,,0,0.0
전력 / 에너지,방산 원전 외교 협력,,0,0.0
AI / 로봇,산업용 협동 로봇,2026-07-30,4,0.65
AI / 로봇,휴머노이드 로봇 상용화,2026-07-30,10,0.63
AI / 로봇,에이전틱 AI 솔루션,2026-07-30,58,0.69
AI / 로봇,빅테크 클라우드 파트너십,2026-07-30,11,0.58
AI / 로봇,챗GPT 생성형 AI,2026-07-30,15,0.63
AI / 로봇,거대언어모델 LLM,,0,0.0
AI / 로봇,소버린 AI 인프라,2026-07-29,1,0.32
AI / 로봇,AI GPU 확보 경쟁,2026-07-30,8,0.57
AI / 로봇,텍스트 영상 생성 AI,,0,0.0
AI / 로봇,AI 비전 검사 장비,2026-07-30,4,0.56
AI / 로봇,중국 AI+소비 육성 정책,2026-07-30,3,0.61
AI / 로봇,피지컬 AI,2026-07-30,38,0.63
AI / 로봇,로봇 통합 솔루션,2026-07-30,1,0.31
AI / 로봇,AI 인프라 연합,2026-07-30,16,0.67
AI / 로봇,로봇 감속기 액추에이터 수혜,2026-07-30,8,0.6
IT / 신기술,양자컴퓨팅 칩 개발,2026-07-29,1,0.34
IT / 신기술,양자암호통신 기술,2026-06-23,1,0.65
IT / 신기술,액침냉각 데이터센터,2026-07-28,2,0.45
IT / 신기술,동남아 데이터센터 투자,2026-07-29,4,0.63
IT / 신기술,딥페이크 대응 기술,,0,0.0
IT / 신기술,제로 트러스트 보안,,0,0.0
IT / 신기술,XR 확장현실 기기,,0,0.0
